playerName,team,eligiblePositions
Thomas Harley,DAL,D
Jake DeBrusk,VAN,"LW,RW"
Noah Dobson,MTL,D
Kaapo Kakko,SEA,RW
Chris Kreider,ANA,LW
Taylor Hall,CAR,LW
Connor McMichael,STL,"C,LW"
Luke Hughes,N.J,D
Tyson Foerster,PHI,"LW,RW"
Brandt Clarke,L.A,D
Gabe Perreault,NYR,RW
Dmitri Voronkov,CBJ,LW
Alex Wennberg,S.J,C
Bobby McMann,SEA,"LW,RW"
Victor Hedman,T.B,D
Mavrik Bourque,NSH,"C,RW"
Gabriel Landeskog,COL,"LW,RW"
Charlie Coyle,CBJ,C
Brock Faber,MIN,D
Seth Jones,FLA,D
Dougie Hamilton,N.J,D
Zeev Buium,VAN,D
Will Cuylle,NYR,"LW,RW"
Elias Lindholm,BOS,C
Christian Dvorak,PHI,C
Philip Broberg,STL,D
Easton Cowan,TOR,LW
Morgan Frost,CGY,C
Andrew Copp,DET,"C,LW"
Casey Mittelstadt,BOS,"C,LW"
Dmitry Orlov,S.J,D
Jiri Kulich,BUF,C
Jake Neighbours,STL,"LW,RW"
Shane Wright,SEA,"C,RW"
Thomas Chabot,OTT,D
Alex Laferriere,L.A,"C,LW,RW"
Thomas Novak,PIT,"C,LW"
Jamie Benn,DAL,"C,LW,RW"
Sean Monahan,CBJ,C
Jonathan Marchessault,NSH,"LW,RW"
Simon Nemec,CGY,D
Matias Maccelli,NYI,"LW,RW"
Owen Power,BUF,D
Tyler Toffoli,S.J,"LW,RW"
Noah Ostlund,BUF,C
Dawson Mercer,N.J,"C,RW"
Matt Savoie,EDM,"C,RW"
Ben Kindel,PIT,C
Kiefer Sherwood,S.J,"LW,RW"
Tristan Luneau,ANA,D
Joel Farabee,CGY,"LW,RW"
Jason Zucker,BUF,LW
Bobby Brink,MIN,RW
Blake Coleman,MIN,"C,LW"
Conor Garland,CBJ,RW
Jack Roslovic,TOR,"C,RW"
Zachary Bolduc,MTL,"LW,RW"
Noah Cates,PHI,C
Filip Chytil,VAN,C
William Karlsson,VGK,C
Linus Karlsson,VAN,RW
Brayden Schenn,NYI,"C,LW"
Anders Lee,UTA,LW
Yegor Sharangovich,CGY,"C,LW,RW"
Claude Giroux,OTT,"C,LW,RW"
Collin Graf,S.J,"LW,RW"
Arseny Gritsyuk,N.J,"LW,RW"
Alex Newhook,MTL,"C,LW"
Jamie Drysdale,PHI,D
Kent Johnson,CBJ,"LW,RW"
Connor Zary,CGY,"C,LW,RW"
Pavel Mintyukov,ANA,D
Konsta Helenius,BUF,C
K'Andre Miller,CAR,D
Noah Hanifin,VGK,D
Mackie Samoskevich,SEA,RW
Teuvo Teravainen,CHI,"LW,RW"
Mattias Ekholm,EDM,D
Ridly Greig,OTT,"C,LW,RW"
Matthew Wood,NSH,"C,RW"
Boone Jenner,WSH,"C,LW"
Trevor Moore,L.A,"LW,RW"
Denton Mateychuk,CBJ,D
Fraser Minten,BOS,C
Justin Faulk,DET,D
Lawson Crouse,UTA,"LW,RW"
Ross Colton,NSH,"C,LW"
Vasily Podkolzin,EDM,"LW,RW"
Brett Howden,VGK,"C,LW"
Jordan Staal,CAR,C
Cole Sillinger,CBJ,"C,RW"
Ryan Poehling,ANA,C
Mikael Backlund,CGY,C
Brandon Montour,SEA,D
Nicholas Robertson,PIT,RW
Marco Kasper,DET,"C,LW"
Alex Bump,PHI,LW
Alex Nikishin,CAR,D
Oliver Kapanen,MTL,C
Emmitt Finnie,DET,"C,LW"
Oliver Bjorkstrand,NYR,RW
Sean Durzi,NYR,D
Pius Suter,STL,"C,LW"
Devon Toews,COL,D
Connor Brown,N.J,RW
Barrett Hayton,UTA,C
Gage Goncalves,T.B,"C,LW"
Simon Edvinsson,DET,D
Ryan Donato,CHI,"C,LW,RW"
Brad Lambert,WPG,C
Rasmus Andersson,VGK,D
Kris Letang,PIT,D
Michael Amadio,OTT,"LW,RW"
Emil Heineman,NYI,"LW,RW"
Mattias Samuelsson,BUF,D
Morgan Rielly,TOR,D
Ryan Greene,CHI,"C,RW"
Artyom Levshunov,CHI,D
Braeden Bowman,VGK,"LW,RW"
Jean-Gabriel Pageau,NYI,C
Jaden Schwartz,COL,"C,LW"
Kirby Dach,MTL,"C,RW"
Alex Texier,MTL,"LW,RW"
MacKenzie Weegar,UTA,D
Danila Yurov,MIN,"C,RW"
Nick Paul,TOR,"C,LW"
John Marino,UTA,D
Jordan Spence,OTT,D
Denver Barkey,PHI,LW
Erik Haula,L.A,"C,LW"
Gustav Forsling,FLA,D
Sean Couturier,PHI,C
Travis Sanheim,PHI,D
Alex Iafallo,WPG,"LW,RW"
Nick Lardis,CHI,LW
Brady Skjei,NSH,D
Nate Danielson,DET,C
Eetu Luostarinen,FLA,LW
Alex Killorn,ANA,"LW,RW"
Damon Severson,CBJ,D
Jonathan Drouin,STL,"LW,RW"
Frank Vatrano,ANA,"LW,RW"
Isak Rosen,WPG,RW
Aaron Ekblad,FLA,D
Berkly Catton,SEA,"C,LW"
Dalibor Dvorsky,STL,C
Noah Laba,NYR,C
Drew O'Connor,VAN,"LW,RW"
Ivan Provorov,CBJ,D
Yanni Gourde,T.B,C
Cam Fowler,STL,D
Cam York,PHI,D
Fabian Zetterlund,OTT,"LW,RW"
Jake Walman,EDM,D
Justin Hryckowian,DAL,"C,LW"
Tony DeAngelo,NYI,D
Victor Olofsson,VGK,"LW,RW"
Ryan Strome,CGY,C
Liam Ohgren,VAN,LW
Marat Khusnutdinov,BOS,"C,LW"
Justin Sourdif,WSH,"C,RW"
Jake Evans,MTL,C
Mathieu Olivier,CBJ,RW
Drew Doughty,L.A,D
Tom Willander,VAN,D
Jack Drury,NSH,C
Patrick Kane,CHI,RW
Warren Foegele,OTT,"LW,RW"
Evan Rodrigues,N.J,"C,LW,RW"
Ilya Mikheyev,T.B,"LW,RW"
Justin Brazeau,PIT,RW
Oliver Moore,CHI,"C,RW"
Sam Malinski,COL,D
Nicolas Roy,COL,"C,RW"
Charle-Edouard D'Astous,T.B,D
Sam Steel,DAL,"C,LW"
Sam Dickinson,S.J,D
Max Domi,TOR,"C,LW"
Peyton Krebs,BUF,"C,LW"
Max Shabanov,MIN,RW
J.T. Compher,DET,C
Oliver Ekman-Larsson,TOR,D
Jordan Martinook,CAR,"LW,RW"
Neal Pionk,WPG,D
Hampus Lindholm,BOS,D
Adam Lowry,WPG,C
Vladislav Gavrikov,NYR,D
Dominic James,T.B,C
Janis Moser,T.B,D
Nils Hoglander,NSH,LW
Ryan McDonagh,T.B,D
Cody Glass,N.J,"C,RW"
Mason Lohrei,BOS,D
Jonathan Lekkerimaki,VAN,RW
Jaccob Slavin,CAR,D
Josh Manson,COL,D
Mike Matheson,MTL,D
Olen Zellweger,BUF,D
Arttu Hyry,DAL,"C,RW"
